feature_set,model_type,n_features,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,model_path
f1,svm,12,0.9444444444444444,0.9520531542674024,0.9405237960027132,0.9453464077440817,0.9450235697109993,0.9444444444444444,0.9438610145907995,models/svm_f1.pkl
f1,rf,12,0.9285714285714286,0.9341956229058096,0.9267249538592588,0.929963981648332,0.9284023603503923,0.9285714285714286,0.9280294746956852,models/rf_f1.pkl
f2,svm,19,0.9543650793650794,0.9616757511494354,0.9494364519741928,0.9546260719734709,0.954964359412981,0.9543650793650794,0.9537811493640344,models/svm_f2.pkl
f2,rf,19,0.9424603174603174,0.9470015805987402,0.9394254886186172,0.9428157173068877,0.9424280295838954,0.9424603174603174,0.9420672840386455,models/rf_f2.pkl
f3,svm,75,0.9702380952380952,0.9744369830015454,0.9676916221033868,0.9707798573279436,0.9703762951564288,0.9702380952380952,0.9700360013743112,models/svm_f3.pkl
f3,rf,75,0.9246031746031746,0.9302130031547238,0.9224598930481283,0.9258531932480847,0.9240989233126143,0.9246031746031746,0.9238911516130155,models/rf_f3.pkl
f4,svm,82,0.9603174603174603,0.9641407804304576,0.9587789661319073,0.9612648230564895,0.9602389825149931,0.9603174603174603,0.9600920157479194,models/svm_f4.pkl
f4,rf,82,0.9523809523809523,0.9590432575590377,0.9478609625668449,0.952658337888523,0.9527674433269224,0.9523809523809523,0.9518220614360725,models/rf_f4.pkl
